Label,MQ2,MQ3,MQ135,MQ136
Soy Sauce,133.4475874,336.2712146,91.5640599,584.0865225
Soy Sauce,121.4575707,298.8735441,100.2079867,575.9417637
Soy Sauce,136.3477537,342.1863561,105.6638935,590.3344426
Soy Sauce,120.8644986,261.4065041,84.70189702,539.6395664
Soy Sauce,128.7392739,297.6963696,93.81023102,574.7359736
Soy Sauce,119.8132231,292.0842975,85.83801653,575.4561983
Soy Sauce,132.2063228,315.5856905,96.77537438,591.3677205
Soy Sauce,118.5790349,276.6788686,81.01331115,561.6605657
Soy Sauce,116.6256158,282.6190476,84.82758621,572.4646962
Soy Sauce,118.1309329,275.2291326,86.47463175,573.8592471
Soy Sauce,117.9983607,273.5672131,84.89508197,567.9409836
Soy Sauce,138.18802,302.5540765,94.07154742,578.7520799
Soy Sauce,171.457429,362.7813022,119.9081803,606.1101836
Soy Sauce,132.4128289,303.0559211,95.46710526,603.375
Soy Sauce,148.5559265,318.293823,106.1252087,586.3722871
Soy Sauce,158.1903172,292.7445743,108.2838063,565.0550918
Soy Sauce,160.4974958,290.6611018,107.3989983,569.2804674
Soy Sauce,150.2086811,287.7762938,103.5993322,568.4924875
Soy Sauce,97.18968386,267.0049917,63.56572379,514.4758735
Soy Sauce,90.52745424,274.7271215,61.12312812,525.9484193
Soy Sauce,122.7936772,323.1763727,86.00499168,575.9650582
Soy Sauce,127.7703827,304.9384359,89.3078203,566.1181364
Soy Sauce,148.6988353,314.5723794,93.34941764,567.5524126
Soy Sauce,136.7121464,278.2828619,88.96672213,553.8835275
Soy Sauce,155.8219634,324.1514143,107.6705491,608.234609
Soy Sauce,152.8937908,314.870915,96.6748366,560.1111111
Soy Sauce,153.614876,326.3768595,97.76694215,569.5735537
Soy Sauce,159.4356436,318.2442244,100.539604,570.9719472
Soy Sauce,159.1738411,322.6622517,103.9387417,588.5645695
Soy Sauce,147.7665563,314.5529801,110.7069536,596.9983444
Soy Sauce,161.8039539,342.7611203,116.0016474,591.8484349
Fish Sauce,18.5391015,75.62229617,20.00665557,140.1164725
Fish Sauce,18.49668874,54.6307947,20.70529801,146.7698675
Fish Sauce,19.87293729,47.87293729,22.50495049,139.07260726
Fish Sauce,19.73977087,48.83306055,22.63770492,145.53355155
Fish Sauce,21.47920133,58.56239601,26.81697171,186.5707155
Fish Sauce,19.46166395,51.39151713,23.2675367,147.223491
Fish Sauce,19.14355628,49.73735726,22.78104575,135.2724307
Fish Sauce,19.32343234,51.01815182,22.85148515,139.630363
Fish Sauce,19.89108911,47.99834983,23.12211221,134.823433
Fish Sauce,18.32113145,76.63560732,20.05823627,140.2828619
